"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Long Run - 28km w/ MP Blocks","Run","","2.83222222222222","28000","2026-01-23","מטרת האימון: נדרש להסתכל על האימון בחלוקה ל-2. החצי הראשון מתמקד בעבודה אירובית בעצימות נמוכה. בתחום הזה אנחנו משפרים את היעילות של התהליכים המטבוליים ואת התפקוד של המערכת הקרדיו-ווסקולרית. יש חשיבות לשמור על עצימות נמוכה בשלב הזה. החצי השני הוא ריצה פרוגרסיבית במצב של עייפות שרירית, פסיכולוגית, ומאגרים מדוללים. העבודה הזו משפרת את העמידות של הגוף לעייפות, ואת היכולת של המערכת לשמר את היכולת הפיזית גם בשלבים המאוחרים. דגשים: שליטה בקצב- לא להיגרר לקצב מהיר מדי בתחילת הריצה. השיפור יגיע מריצה איטית. ריצה מהירה היא לא מועילה יותר, להפך. שינויים בקצבי העבודה: תזמון מאמץ נכון לכל מקטע. לעבור בצורה חכמה בין המקטעים – לא להאיץ בפתאומיות, אלא להכנס לקצב באופן מדורג. לשמור על טכניקת ריצה גם בשלבים המאוחרים: תנועת ידיים יעילה, מגע עם הקרקע, קאדנס. ניהול תזונה ונוזלים: צריכת פחמימות מינימום 60 גר׳ לשעה, שתייה עם אלקטרוליטים לכל אורך האימון סביב 750 מ״ג לכל ליטר זה אזור טוב. לתזמן ג׳ל/איזוטוני לפני הקטעים המהירים. עייפות: האתגר העיקרי הוא עמידות ויכולת להחזיק תחת עייפות. דורש גם ריכוז מנטלי במקטעים האחרונים. שים לב לסימני ירידה בביצועים: קצבים, דופק, טכניקה *לנסות להמנע ממסלול עם עליות משמעותיות*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Build 2 Week 3","Custom","","","","2026-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threshold - 4x8""","Run","מטרה: המשך עבודה קרוב לסף בלי עליה בלקטט דגשים: קצב אחיד לאורך שלושת המקטעים. קצב לא גורע מהטכניקה. נשימה נשלטת. אם החזרה השלישית מרגישה קשה מדי - האטה קלה, לא למשוך לקצה. אפשר לקצר זמני התאוששות מ150 שניות ל-120 שניות בחזרה האחרונה. מדדים: קצב או וואטים. דופק יכול להיות כלי מעקב אבל לא להכתיב את העצימות","1.28333333333333","","2026-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run - Easy + Z2 Run","Run","זמן עבודה מתחת לסף הראשון - לשים לב לחלוקת העצימות בין ריצה קלה לריצה בזון 2. לא להפוך את כל הריצה רק כזון 2 או רק כריצה קלה.","1.66666666666667","","2026-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - 30km w/ Continuous MP","Run","מטרת האימון: נדרש להסתכל על האימון בחלוקה ל-2. החצי הראשון מתמקד בעבודה אירובית בעצימות נמוכה. בתחום הזה אנחנו משפרים את היעילות של התהליכים המטבוליים ואת התפקוד של המערכת הקרדיו-ווסקולרית. יש חשיבות לשמור על עצימות נמוכה בשלב הזה. החצי השני הוא ריצה פרוגרסיבית במצב של עייפות שרירית, פסיכולוגית, ומאגרים מדוללים. העבודה הזו משפרת את העמידות של הגוף לעייפות, ואת היכולת של המערכת לשמר את היכולת הפיזית גם בשלבים המאוחרים.","3.04333333333333","30000","2026-01-30","דגשים:שליטה בקצב- לא להיגרר לקצב מהיר מדי בתחילת הריצה. ריצה מהירה היא לא מועילה יותר, ותפגע ביכולת לבצע את החלק השני של האימון. שינויים בקצבי העבודה: תזמון מאמץ נכון לכל מקטע. לשמור על טכניקת ריצה גם בשלבים המאוחרים: תנועת ידיים יעילה, מגע עם הקרקע, קאדנס. ניהול תזונה ונוזלים: צריכת פחמימות מינימום 60 גר׳ לשעה, שתייה עם אלקטרוליטים לכל אורך האימון סביב 750 מ״ג לכל ליטר זה אזור טוב. לתזמן ג׳ל/איזוטוני לפני הקטעים המהירים. עייפות: האתגר העיקרי הוא עמידות ויכולת להחזיק תחת עייפות. דורש גם ריכוז מנטלי במקטעים האחרונים. שים לב לסימני ירידה בביצועים: קצבים, דופק, טכניקה אם MP מרגיש “כבד מדי” בק״מ 3–4 בתוך הבלוק, להוריד קליק ולעבוד על מאמץ, לא מספר. *לנסות להמנע ממסלול עם עליות משמעותיות*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Run (RPE)","Run","הריצה צריכה להיות בקצב קל מאוד. המנטליות - ריצת התאוששות/ג׳וגינג. המספרים פחות חשוב, אך כן נכון לשמור על מאמץ יציב לאורך האימון וללא שינויי עצימות (קצב). דופק צריך להשאר נמוך ויציב, ללא מגמת עלייה.","0.833333333333333","","2026-02-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Build 2 Week 4 (Recovery + Half Marathon)","Custom","","","","2026-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Run (RPE)","Run","הריצה צריכה להיות בקצב קל מאוד. המנטליות - ריצת התאוששות/ג׳וגינג. המספרים פחות חשוב, אך כן נכון לשמור על מאמץ יציב לאורך האימון וללא שינויי עצימות (קצב). דופק צריך להשאר נמוך ויציב, ללא מגמת עלייה.","0.75","","2026-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Activation - MP Reps","Run","","0.943333333333333","9000","2026-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Half Marathon","Run","","1.96277777777778","21100","2026-02-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Warm Up Protocol","Run","","0.316666666666667","","2026-02-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Run (RPE)","Run","הריצה צריכה להיות בקצב קל מאוד. המנטליות - ריצת התאוששות/ג׳וגינג. המספרים פחות חשוב, אך כן נכון לשמור על מאמץ יציב לאורך האימון וללא שינויי עצימות (קצב). דופק צריך להשאר נמוך ויציב, ללא מגמת עלייה.","0.75","","2026-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peak | Week 1","Custom","","","","2026-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - 32km w/ 10km MP","Run","מטרת האימון: נדרש להסתכל על האימון בחלוקה ל-2. החצי הראשון מתמקד בעבודה אירובית בעצימות נמוכה. בתחום הזה אנחנו משפרים את היעילות של התהליכים המטבוליים ואת התפקוד של המערכת הקרדיו-ווסקולרית. יש חשיבות לשמור על עצימות נמוכה בשלב הזה. החצי השני הוא ריצה פרוגרסיבית במצב של עייפות שרירית, פסיכולוגית, ומאגרים מדוללים. העבודה הזו משפרת את העמידות של הגוף לעייפות, ואת היכולת של המערכת לשמר את היכולת הפיזית גם בשלבים המאוחרים.","3.23388888888889","32000","2026-02-13","דגשים:שליטה בקצב- לא להיגרר לקצב מהיר מדי בתחילת הריצה. ריצה מהירה היא לא מועילה יותר, ותפגע ביכולת לבצע את החלק השני של האימון. שינויים בקצבי העבודה: תזמון מאמץ נכון לכל מקטע. לשמור על טכניקת ריצה גם בשלבים המאוחרים: תנועת ידיים יעילה, מגע עם הקרקע, קאדנס. ניהול תזונה ונוזלים: צריכת פחמימות מינימום 60 גר׳ לשעה, שתייה עם אלקטרוליטים לכל אורך האימון סביב 750 מ״ג לכל ליטר זה אזור טוב. לתזמן ג׳ל/איזוטוני לפני הקטעים המהירים. עייפות: האתגר העיקרי הוא עמידות ויכולת להחזיק תחת עייפות. דורש גם ריכוז מנטלי במקטעים האחרונים. שים לב לסימני ירידה בביצועים: קצבים, דופק, טכניקה אם MP מרגיש “כבד מדי” בק״מ 3–4 בתוך הבלוק, להוריד קליק ולעבוד על מאמץ, לא מספר. *לנסות להמנע ממסלול עם עליות משמעותיות*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - 34km w/ 10km MP","Run","מטרת האימון: נדרש להסתכל על האימון בחלוקה ל-2. החצי הראשון מתמקד בעבודה אירובית בעצימות נמוכה. בתחום הזה אנחנו משפרים את היעילות של התהליכים המטבוליים ואת התפקוד של המערכת הקרדיו-ווסקולרית. יש חשיבות לשמור על עצימות נמוכה בשלב הזה. החצי השני הוא ריצה פרוגרסיבית במצב של עייפות שרירית, פסיכולוגית, ומאגרים מדוללים. העבודה הזו משפרת את העמידות של הגוף לעייפות, ואת היכולת של המערכת לשמר את היכולת הפיזית גם בשלבים המאוחרים.","3.43916666666667","34000","2026-02-13","דגשים:שליטה בקצב- לא להיגרר לקצב מהיר מדי בתחילת הריצה. ריצה מהירה היא לא מועילה יותר, ותפגע ביכולת לבצע את החלק השני של האימון. שינויים בקצבי העבודה: תזמון מאמץ נכון לכל מקטע. לשמור על טכניקת ריצה גם בשלבים המאוחרים: תנועת ידיים יעילה, מגע עם הקרקע, קאדנס. ניהול תזונה ונוזלים: צריכת פחמימות מינימום 60 גר׳ לשעה, שתייה עם אלקטרוליטים לכל אורך האימון סביב 750 מ״ג לכל ליטר זה אזור טוב. לתזמן ג׳ל/איזוטוני לפני הקטעים המהירים. עייפות: האתגר העיקרי הוא עמידות ויכולת להחזיק תחת עייפות. דורש גם ריכוז מנטלי במקטעים האחרונים. שים לב לסימני ירידה בביצועים: קצבים, דופק, טכניקה אם MP מרגיש “כבד מדי” בק״מ 3–4 בתוך הבלוק, להוריד קליק ולעבוד על מאמץ, לא מספר. *לנסות להמנע ממסלול עם עליות משמעותיות*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peak | Week 2","Custom","","","","2026-02-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - Z2/LT1","Run","","2.47555555555556","24000","2026-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jog - Recovery","Run","","1","","2026-02-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Race Week","Custom","","","","2026-02-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Taper Threshold Maintenance","Run","","1.20805555555556","11000","2026-02-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Taper - Strides + Jog","Run","","0.8425","8000","2026-02-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marathon","Run","","3.93111111111111","42200","2026-02-27","כל המקטעים הם עם הקפה ידנית - כדי לעבור למקטע הבא נדרש ללחוץ על ׳הקפה׳ בשעון. אין הכרח להצמד למרחקים בכתובים כאן - ניתן ללחוץ על הקפה לפי המרחקים בפועל על המסלול, או לחלופין לפי תחושה אישית תוך כדי המרתון.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
